study_bus,energy_size,capacity_size,number_of_constraints
556,0,0,1
556,10,10,0
556,20,20,0
556,30,30,0
556,40,40,0
556,50,50,0
556,60,60,0
556,70,70,0
556,80,80,0
556,90,90,0
556,100,100,0
556,110,110,0
556,120,120,0
556,130,130,0
556,140,140,0
556,150,150,0
556,160,160,0
556,170,170,0
556,180,180,0
556,190,190,0
556,200,200,0
556,210,210,0
556,220,220,0
556,230,230,0
556,240,240,0
556,250,250,0
556,260,260,0
556,270,270,0
556,280,280,0
556,290,290,0
556,300,300,0
556,310,310,1
556,320,320,0
556,330,330,1
556,340,340,0
556,350,350,0
556,360,360,0
556,370,370,0
556,380,380,0
556,390,390,0
556,400,400,0
556,410,410,0
556,420,420,0
556,430,430,0
556,440,440,0
556,450,450,0
556,460,460,0
556,470,470,0
556,480,480,0
556,490,490,0
556,500,500,0
556,510,510,0
556,520,520,0
556,530,530,0
556,540,540,1
556,550,550,0
556,560,560,0
556,570,570,0
556,580,580,0
556,590,590,0
556,600,600,0
556,610,610,0
556,620,620,0
556,630,630,0
556,640,640,0
556,650,650,0
556,660,660,0
556,670,670,0
556,680,680,0
556,690,690,0
556,700,700,0
556,710,710,0
556,720,720,0
556,730,730,0
556,740,740,0
556,750,750,0
556,760,760,0
556,770,770,0
556,780,780,1
556,790,790,0
556,800,800,0
556,810,810,0
556,820,820,0
556,830,830,0
556,840,840,0
556,850,850,0
556,860,860,2
556,870,870,0
556,880,880,0
556,890,890,0
556,900,900,0
556,910,910,0
556,920,920,0
556,930,930,0
556,940,940,0
556,950,950,0
556,960,960,0
556,970,970,0
556,980,980,0
556,990,990,0
556,1000,1000,0
573,0,0,1
573,10,10,0
573,20,20,0
573,30,30,0
573,40,40,0
573,50,50,0
573,60,60,0
573,70,70,0
573,80,80,0
573,90,90,0
573,100,100,0
573,110,110,0
573,120,120,0
573,130,130,0
573,140,140,0
573,150,150,0
573,160,160,0
573,170,170,0
573,180,180,1
573,190,190,0
573,200,200,1
573,210,210,0
573,220,220,0
573,230,230,0
573,240,240,0
573,250,250,0
573,260,260,1
573,270,270,0
573,280,280,0
573,290,290,0
573,300,300,0
573,310,310,0
573,320,320,0
573,330,330,0
573,340,340,0
573,350,350,0
573,360,360,0
573,370,370,0
573,380,380,1
573,390,390,0
573,400,400,0
573,410,410,0
573,420,420,0
573,430,430,0
573,440,440,1
573,450,450,0
573,460,460,0
573,470,470,0
573,480,480,0
573,490,490,0
573,500,500,0
573,510,510,0
573,520,520,0
573,530,530,0
573,540,540,0
573,550,550,0
573,560,560,0
573,570,570,0
573,580,580,0
573,590,590,0
573,600,600,0
573,610,610,0
573,620,620,0
573,630,630,0
573,640,640,0
573,650,650,0
573,660,660,0
573,670,670,0
573,680,680,2
573,690,690,0
573,700,700,0
573,710,710,0
573,720,720,0
573,730,730,0
573,740,740,0
573,750,750,0
573,760,760,0
573,770,770,0
573,780,780,0
573,790,790,0
573,800,800,0
573,810,810,0
573,820,820,0
573,830,830,0
573,840,840,0
573,850,850,0
573,860,860,1
573,870,870,0
573,880,880,0
573,890,890,0
573,900,900,0
573,910,910,0
573,920,920,0
573,930,930,0
573,940,940,0
573,950,950,0
573,960,960,0
573,970,970,0
573,980,980,0
573,990,990,0
573,1000,1000,0
